causal_iole_top3_jaccard,causal_top3,caveat,generation,intervention_estimand,iole_top3,model,probe_causal_top3_jaccard,probe_iole_top3_jaccard,probe_robustness_top3_jaccard,probe_top3,robustness_iole_top3_jaccard,robustness_top3,run,status
,[],"saved ablation/intervention order estimates robustness (least damage first), not causal importance; causal overlap is intentionally not computed",GPU_RUN2 fixed full run,robustness_least_damage,"[""decoder_4"", ""decoder_1"", ""decoder_0""]",NeSymReS,,0.2,1.0,"[""decoder_0"", ""decoder_3"", ""encoder_4""]",0.2,"[""encoder_4"", ""decoder_0"", ""decoder_3""]",GPU_RUN2,available
0.5,"[""encoder.Transformer.layers.0"", ""encoder.Transformer.layers.1"", ""decoder.decoder.layers.0""]",four-block architecture; k=3 random control is combinatorially weak,GPU_RUN3 full run,causal_importance,"[""decoder.decoder.layers.1"", ""decoder.decoder.layers.0"", ""encoder.Transformer.layers.1""]",NDformer,0.5,1.0,,"[""decoder.decoder.layers.1"", ""decoder.decoder.layers.0"", ""encoder.Transformer.layers.1""]",,[],GPU_RUN3,available
0.0,"[""encoder_3"", ""decoder_3"", ""decoder_0""]",reduced one-seed run; causal and IOLE outcomes are teacher-forcing CE,GPU_RUN4 reduced public-checkpoint run,causal_importance,"[""decoder_7"", ""encoder_0"", ""encoder_2""]",ODEFormer,0.0,0.5,,"[""encoder_0"", ""encoder_1"", ""encoder_2""]",,[],GPU_RUN4,available
0.2,"[""decoder_11"", ""decoder_3"", ""encoder_3""]","next-token probe-minus-shuffle, causal intervention, and formula-level IOLE have distinct estimands",GPU_RUN5 fixed run,causal_importance,"[""decoder_11"", ""decoder_10"", ""decoder_8""]",ODEFormer,0.2,0.5,,"[""decoder_11"", ""decoder_10"", ""decoder_9""]",,[],GPU_RUN5,available
