affected_cells,denominator,denominator_metric,event_count,layer,metric,missing_candidate_slots,phase,rate,selected,source_sha256,subgroup,unit,value,value_kind
1,99182,candidates_saved,1,failure_event_summary,parse,0,8,1.0082474642576274e-05,False,,main/grn_top3,candidate,1,count
12,99182,candidates_saved,12,failure_event_summary,parse,0,8,0.00012098969571091529,True,,main/grn_top3,candidate,12,count
1,99182,candidates_saved,7,failure_event_summary,timeout,0,8,7.057732249803392e-05,False,,main/grn_top3,candidate,7,count
1,99182,candidates_saved,1,failure_event_summary,timeout,0,8,1.0082474642576274e-05,True,,main/grn_top3,candidate,1,count
243,302346,trajectory_slots,4152,failure_event_summary,trajectory,0,8,0.013732610982119822,False,,main/grn_top3,trajectory,4152,count
17,302346,trajectory_slots,82,failure_event_summary,trajectory,0,8,0.00027121245195901384,True,,main/grn_top3,trajectory,82,count
16,960,cells,16,failure_event_summary,beam_shortfall,134,8,0.016666666666666666,False,,main/official_continued_full,cell,16,count
151,148398,trajectory_slots,2112,failure_event_summary,trajectory,0,8,0.014231997735818541,False,,main/official_continued_full,trajectory,2112,count
13,148398,trajectory_slots,26,failure_event_summary,trajectory,0,8,0.00017520451758109946,True,,main/official_continued_full,trajectory,26,count
,,,,derived_funnel,cells,,6,,,,family_holdout/frozen,,120,count
,,,,derived_funnel,cells_with_candidates,,6,,,,family_holdout/frozen,,120,count
,,,,derived_funnel,candidates_saved,,6,,,,family_holdout/frozen,,5999,count
,,,,derived_funnel,expected_candidate_slots,,6,,,,family_holdout/frozen,,6000,count
,,,,derived_funnel,missing_candidate_slots,,6,,,,family_holdout/frozen,,1,count
,,,,derived_funnel,candidates_formula_evaluated,,6,,,,family_holdout/frozen,,5999,count
,,,,derived_funnel,component_slots,,6,,,,family_holdout/frozen,,17997,count
,,,,derived_funnel,trajectory_slots,,6,,,,family_holdout/frozen,,17997,count
,,,,derived_funnel,selected_cells,,6,,,,family_holdout/frozen,,120,count
,,,,derived_funnel,selected_valid_cells,,6,,,,family_holdout/frozen,,120,count
,,,,derived_funnel,cells,,6,,,,family_holdout/grn_decoder_all,,480,count
,,,,derived_funnel,cells_with_candidates,,6,,,,family_holdout/grn_decoder_all,,480,count
,,,,derived_funnel,candidates_saved,,6,,,,family_holdout/grn_decoder_all,,8871,count
,,,,derived_funnel,expected_candidate_slots,,6,,,,family_holdout/grn_decoder_all,,8880,count
,,,,derived_funnel,missing_candidate_slots,,6,,,,family_holdout/grn_decoder_all,,9,count
,,,,derived_funnel,candidates_formula_evaluated,,6,,,,family_holdout/grn_decoder_all,,8871,count
,,,,derived_funnel,component_slots,,6,,,,family_holdout/grn_decoder_all,,26613,count
,,,,derived_funnel,trajectory_slots,,6,,,,family_holdout/grn_decoder_all,,26613,count
,,,,derived_funnel,selected_cells,,6,,,,family_holdout/grn_decoder_all,,480,count
,,,,derived_funnel,selected_valid_cells,,6,,,,family_holdout/grn_decoder_all,,472,count
,,,,derived_funnel,cells,,6,,,,family_holdout/grn_full,,480,count
,,,,derived_funnel,cells_with_candidates,,6,,,,family_holdout/grn_full,,480,count
,,,,derived_funnel,candidates_saved,,6,,,,family_holdout/grn_full,,8780,count
,,,,derived_funnel,expected_candidate_slots,,6,,,,family_holdout/grn_full,,8880,count
,,,,derived_funnel,missing_candidate_slots,,6,,,,family_holdout/grn_full,,100,count
,,,,derived_funnel,candidates_formula_evaluated,,6,,,,family_holdout/grn_full,,8780,count
,,,,derived_funnel,component_slots,,6,,,,family_holdout/grn_full,,26340,count
,,,,derived_funnel,trajectory_slots,,6,,,,family_holdout/grn_full,,26340,count
,,,,derived_funnel,selected_cells,,6,,,,family_holdout/grn_full,,480,count
,,,,derived_funnel,selected_valid_cells,,6,,,,family_holdout/grn_full,,416,count
,,,,derived_funnel,cells,,6,,,,family_holdout/official_continued_full,,480,count
,,,,derived_funnel,cells_with_candidates,,6,,,,family_holdout/official_continued_full,,480,count
,,,,derived_funnel,candidates_saved,,6,,,,family_holdout/official_continued_full,,8833,count
