condition,pair_id,component_id,system_id,component_idx,scale,rewrite_id,eligibility_layer,partition_scope,outcome_category,construction_incomplete,is_fully_diagnostic,failure_reason,rescale_incomplete,formula_metrics_valid,q4_construction_completed,q4_emitted_infix,q4_sympy_expr_canonical,q4_construction_failure_reason,e2_identity_fallback_candidate,e1_oracle_completed,e1_oracle_equivalent,e1_analytic_equivalent,e1_numeric_equivalent,e1_oracle_failure_reason,e2_oracle_completed,e2_oracle_equivalent,e2_analytic_equivalent,e2_numeric_equivalent,e2_oracle_failure_reason,e0_status,e1_status,e2_status,e0_prefix_raw,e1_prefix_raw,e2_prefix_raw,e0_infix,e1_infix,e2_infix,e2_infix_pre_classifier,classifier_parse_valid,classifier_parse_failure_reason,hill_form,canonical_exact,exponent_aware_skeleton_exact,original_vs_q4_numeric_max_abs_error,quantization_stratum,control_pass_row
B0,pair_sha256:79d827b43aa8435223f5899085e8021695294caad3bb3ea26463741dfee06798,component_sha256:9c74179cb95b9c59c1172cee61c7c7c0c5547aacb8647faf7c30cfd2823e7fba,R01_train_d61001_000,0,0.1,rewrite_sha256:91a3f6eb6ae668bbefd4a9d9cfc0242032549f5e9346450e932c09129bdf4d90,strict_hill_primary,primary,execution_failure,,false,ODEFormerUnavailable,,,,,,,,,,,,,,,,,,execution_failure,,,,,,,,,,,,,,,,,
B0,pair_sha256:4b105fe99479237d1b8c8882de1a66f277528cc58a018034c6012195e6b70907,component_sha256:40d04b01e7906d32d19b82edd08aa4a4ce16ea920f781efaeedf4d54d9d0d30f,R01_train_d61001_001,0,0.1,rewrite_sha256:d7ed8586e783013d42627eee57d46330869238db5d350a3e3bcff779278ba88f,strict_hill_primary,primary,execution_failure,,false,ODEFormerUnavailable,,,,,,,,,,,,,,,,,,execution_failure,,,,,,,,,,,,,,,,,
B1,pair_sha256:b3db44e85d47a9839ecb6793b6673bc258471e6fbce45f10f955c33a337bf171,component_sha256:9c74179cb95b9c59c1172cee61c7c7c0c5547aacb8647faf7c30cfd2823e7fba,R01_train_d61001_000,0,identity,identity,strict_hill_primary,control,control_failure,,false,ODEFormerUnavailable,,,,,,,,,,,,,,,,,,execution_failure,,,,,,,,,,,,,,,,,false
B1,pair_sha256:3b6f9329e378c3e4335e5c3907648b2d9b1f701cab2fac95bc093944ae3fcd32,component_sha256:40d04b01e7906d32d19b82edd08aa4a4ce16ea920f781efaeedf4d54d9d0d30f,R01_train_d61001_001,0,identity,identity,strict_hill_primary,control,control_failure,,false,ODEFormerUnavailable,,,,,,,,,,,,,,,,,,execution_failure,,,,,,,,,,,,,,,,,false
