_method,noise,n,valid_rate,pen_nmse_med,valid_nmse_med,pen_ood_med,valid_ood_med,r2_med,sym_recovery,sym_exact,skeleton,complexity_med,var_f1,search_s_med
nesymres,0.0,144.0,1.0,0.04947156121885973,0.04947156121885973,0.04900556420660153,0.04900556420660153,0.9056440321916804,0.0,0.0,0.0,30.0,0.9486111111111108,3.876096340500226
nesymres,0.1,144.0,1.0,0.05123371579610926,0.05123371579610926,0.05008913991046159,0.05008913991046159,0.9058040712063364,0.0,0.0,0.0,29.0,0.9481481481481483,3.850971670995932
pysr,0.0,144.0,0.7013888888888888,0.014187058227571665,0.004691268716795381,0.021683077919624167,0.008215650990099539,0.9920278651865865,0.125,0.0,0.125,30.0,0.6916666666666667,8.023387263499899
pysr,0.1,144.0,0.7916666666666666,0.007680699115682211,0.0054698408519053875,0.013510781936735786,0.009104597041670971,0.9906508555266076,0.125,0.0,0.125,24.0,0.7680555555555556,8.038031835494621
