view,split,noise,cmp,n,mean_diff,lo,hi,in_margin
main,test,0.0,top_1-full,3,-0.06109034151144194,-0.1979872006853719,0.07580651766248803,False
main,test,0.0,top_3-full,3,-0.05428956251891981,-0.17372508558978605,0.06514596055194644,False
main,test,0.0,top_1-frozen,3,-0.01994500172008014,-0.036734164892087355,-0.0031558385480729215,True
main,test,0.0,top_3-frozen,3,-0.013144222727557997,-0.018234472817528748,-0.008053972637587246,True
main,test,0.0,top_1-random_3,3,-0.015512954387885238,-0.03458300313530167,0.0035570943595311915,True
main,test,0.0,top_3-random_3,3,-0.008712175395363097,-0.012133333723420063,-0.0052910170673061314,True
main,test,0.1,top_1-full,3,-0.026691427651645925,-0.07326118593937946,0.01987833063608761,False
main,test,0.1,top_3-full,3,-0.027791392668408788,-0.06866206717676177,0.013079281839944185,False
main,test,0.1,top_1-frozen,3,-0.013414833379370801,-0.03238322853111006,0.005553561772368454,True
main,test,0.1,top_3-frozen,3,-0.014514798396133663,-0.0318982521296678,0.0028686553374004733,True
main,test,0.1,top_1-random_3,3,-0.0026308528308787854,-0.023483819354188303,0.018222113692430732,True
main,test,0.1,top_3-random_3,3,-0.0037308178476416465,-0.021388198043966886,0.013926562348683594,True
main,validation,0.0,top_1-full,3,-0.04586443425841414,-0.15589981116007876,0.06417094264325049,False
main,validation,0.0,top_3-full,3,-0.04456958020216047,-0.15480072098092698,0.06566156057660602,False
main,validation,0.0,top_1-frozen,3,-0.01690408874869856,-0.024718212843143152,-0.009089964654253966,True
main,validation,0.0,top_3-frozen,3,-0.015609234692444893,-0.02367036467103979,-0.007548104713849996,True
main,validation,0.0,top_1-random_3,3,-0.0062566620904105875,-0.015421559556765628,0.002908235375944454,True
main,validation,0.0,top_3-random_3,3,-0.004961808034156921,-0.013898330943059038,0.003974714874745196,True
main,validation,0.1,top_1-full,3,-0.04176415176594276,-0.12629825622920135,0.04276995269731584,False
main,validation,0.1,top_3-full,3,-0.03617148418387827,-0.1346438943249111,0.06230092595715458,False
main,validation,0.1,top_1-frozen,3,-0.020970684100268297,-0.03676319626899438,-0.005178171931542217,True
main,validation,0.1,top_3-frozen,3,-0.0153780165182038,-0.03657299897293946,0.005816965936531856,True
main,validation,0.1,top_1-random_3,3,-0.00613117460749935,-0.017234438870917936,0.0049720896559192354,True
main,validation,0.1,top_3-random_3,3,-0.0005385070254348539,-0.006514383498174617,0.00543736944730491,True
structure_holdout,test,0.0,top_1-full,3,-0.023577077723085454,-0.045765189311755106,-0.0013889661344158033,True
structure_holdout,test,0.0,top_3-full,3,-0.028008212588249273,-0.04386365750155987,-0.012152767674938676,True
structure_holdout,test,0.0,top_1-frozen,3,-0.015248984646318832,-0.030489402372544903,-8.566920092758709e-06,True
structure_holdout,test,0.0,top_3-frozen,3,-0.019680119511482647,-0.03306059045647586,-0.006299648566489433,True
structure_holdout,test,0.0,top_1-random_3,3,-0.0007320555940597528,-0.008350045965763669,0.006885934777644163,True
structure_holdout,test,0.0,top_3-random_3,3,-0.0051631904592235696,-0.011281464372238214,0.0009550834537910757,True
structure_holdout,test,0.1,top_1-full,3,-0.03259707845526797,-0.10505514522387444,0.03986098831333849,False
structure_holdout,test,0.1,top_3-full,3,-0.03684155851701054,-0.10173769070305198,0.0280545736690309,False
structure_holdout,test,0.1,top_1-frozen,3,-0.0059172267178810994,-0.02323651762977144,0.011402064194009243,True
structure_holdout,test,0.1,top_3-frozen,3,-0.010161706779623669,-0.03604235494613809,0.01571894138689075,True
structure_holdout,test,0.1,top_1-random_3,3,-0.00015586187861828712,-0.008008110782307409,0.007696387025070834,True
structure_holdout,test,0.1,top_3-random_3,3,-0.004400341940360856,-0.02137408691609096,0.012573403035369246,True
structure_holdout,validation,0.0,top_1-full,3,-0.016845049226543316,-0.027034554333592878,-0.006655544119493753,True
structure_holdout,validation,0.0,top_3-full,3,-0.017484303598040006,-0.02552449711578951,-0.009444110080290502,True
structure_holdout,validation,0.0,top_1-frozen,3,-0.011152481574107526,-0.017338365121398962,-0.004966598026816092,True
structure_holdout,validation,0.0,top_3-frozen,3,-0.011791735945604216,-0.016131654680536855,-0.007451817210671576,True
structure_holdout,validation,0.0,top_1-random_3,3,0.0013692731346046719,-0.0005822678931592801,0.003320814162368624,True
structure_holdout,validation,0.0,top_3-random_3,3,0.000730018763107982,-0.0014441387964162136,0.0029041763226321776,True
structure_holdout,validation,0.1,top_1-full,3,-166666.69383236996,-883775.521055282,550442.133390542,False
structure_holdout,validation,0.1,top_3-full,3,-166666.69446091895,-883775.5192555045,550442.1303336665,False
structure_holdout,validation,0.1,top_1-frozen,3,-0.007066539125255873,-0.017294459945413128,0.0031613816949013834,True
structure_holdout,validation,0.1,top_3-frozen,3,-0.007695088126844535,-0.015584626859066444,0.0001944506053773729,True
structure_holdout,validation,0.1,top_1-random_3,3,0.000524190206227441,-0.0014137533573901741,0.002462133769845056,True
structure_holdout,validation,0.1,top_3-random_3,3,-0.00010435879536122132,-0.0016090198903642944,0.0014003022996418519,True
